Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
X,X,VERB,VERB,VERB,X,VERB,X,X,X
VERB,VERB,X,PUNCT,X,VERB,PUNCT,VERB,VERB,VERB
PUNCT,PUNCT,PUNCT,X,PUNCT,PUNCT,X,PUNCT,PUNCT,PUNCT
NOUN,NOUN,SCONJ,SCONJ,NOUN,PROPN,PROPN,NOUN,PRON,NOUN
SCONJ,PRON,PRON,NOUN,SCONJ,SCONJ,NOUN,SCONJ,NOUN,SCONJ
