,name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
368,neuber-die-verehrung-der-vollkommenheit,ger000230,Neuber,0,Die Verehrung der Vollkommenheit durch die gebesserten deutschen Schauspiele,,,1737,7,False,0.8857142857142858,0.7142857142857143,1.2857142857142858,trauerspiel|regel,4.285714285714286,2,,1737.0,6,7,0,0,7,,1,,4,0,1,6419,4807,452,4,566
369,neuber-ein-deutsches-vorspiel,ger000321,Neuber,0,Ein Deutsches Vorspiel,,,1734,14,False,0.8038580467151896,0.5494505494505495,1.4505494505494505,alethea,7.142857142857143,2,,1734.0,13,14,7,5,2,,1,,8,0,0,5715,5101,256,0,576
374,platen-berengar,ger000500,Platen,0,Berengar,Comödie in einem Akt,Comedy,1824,6,False,1.0,1.0,1.0,several characters,5.0,1,,1824.0,5,6,2,4,0,,1,1824,3,0,0,3870,3771,153,51,414
379,rache-belsazar,ger000469,Raché,0,Belsazar,Drama in 1 Akt,,1904,9,False,0.8595238095238096,0.5833333333333334,1.4166666666666667,belsazar,4.666666666666667,2,1904,1904.0,8,9,2,7,0,,1,,9,0,0,3875,3487,876,131,0
391,richter-eumenides-duester,ger000507,Richter,0,Eumenides Düster,Trauerspiel nach Adolph Müllner's Weise,Tragedy,1819,5,False,0.6,0.6,1.4,eumenides,2.4,2,,1819.0,4,5,1,4,0,,1,,8,0,1,5552,4921,516,0,917
400,scheerbart-das-dumme-luder,ger000183,Scheerbart,0,Das dumme Luder,Ein Jupiter-Drama,,1904,5,False,1.0,1.0,1.0,several characters,4.0,1,,1904.0,4,5,3,2,0,,1,,1,0,0,539,416,24,29,0
401,scheerbart-das-gift,ger000297,Scheerbart,0,Das Gift,Eine Mondschein-Komödie,Comedy,1904,4,False,1.0,1.0,1.0,several characters,3.0,1,,1904.0,3,4,1,2,1,,1,,1,0,0,1355,1199,253,56,0
402,scheerbart-das-mirakel,ger000370,Scheerbart,0,Das Mirakel,Eine dramatische Szene,,1904,2,False,0.0,1.0,1.0,sie|er,1.0,1,,1904.0,1,2,1,1,0,,1,,1,0,0,3115,3039,80,168,0
403,scheerbart-der-alte-petrus,ger000030,Scheerbart,0,"Der alte Petrus, oder Im Himmel spukt es auch",Ein himmlisches Schauspiel,,1904,8,False,1.0,1.0,1.0,several characters,7.0,1,,1904.0,7,8,1,7,0,,1,,1,0,0,1482,1324,520,58,0
404,scheerbart-der-fanatische-buergermeister,ger000424,Scheerbart,0,Der fanatische Bürgermeister,Kosmisches Drama in vier Akten,,1904,8,False,0.8964285714285715,0.8571428571428571,1.1428571428571428,several characters,6.0,2,,1904.0,7,8,1,5,2,,1,,4,0,4,4266,3856,1066,139,0
405,scheerbart-der-herr-vom-jenseits,ger000181,Scheerbart,0,Der Herr vom Jenseits,Eine Gartenkomödie,Comedy,1904,3,False,1.0,1.0,1.0,christine|arabella|ko-bo-so,2.0,1,,1904.0,2,3,2,1,0,,1,,1,0,0,3128,2911,377,136,0
406,scheerbart-der-regierungswechsel,ger000410,Scheerbart,0,Der Regierungswechsel,Ein politisches Drama,,1897,3,False,1.0,1.0,1.0,susanne|zibolko|napoleon,2.0,1,,1897.0,2,3,1,2,0,,1,,1,0,0,1879,1667,627,62,2
407,scheerbart-der-schornsteinfeger,ger000332,Scheerbart,0,Der Schornsteinfeger,Constantinopolitanische Offizierstragödie,Tragedy,1904,3,False,1.0,1.0,1.0,bimmelmann|ibn_bullak|von_mohrenheim,2.0,1,,1904.0,2,3,0,3,0,,1,,1,0,0,1075,984,226,61,0
408,scheerbart-der-vornehme-raeuberhauptmann,ger000182,Scheerbart,0,Der vornehme Räuberhauptmann,Drama in zwei Akten,,1904,9,False,0.8134920634920635,0.4722222222222222,1.5277777777777777,knoblauch,3.7777777777777777,2,,1904.0,8,9,0,9,0,,1,,3,0,3,1230,1047,430,48,0
409,scheerbart-der-wetterfuerst,ger000250,Scheerbart,0,Der Wetterfürst,Ein Schauspiel zwischen hohen Bergen,,1904,3,False,1.0,1.0,1.0,roderich|jarrimo|lisabella,2.0,1,,1904.0,2,3,1,2,0,,1,,2,0,2,716,487,297,49,0
410,scheerbart-die-lustigen-raeuber,ger000421,Scheerbart,0,Die lustigen Räuber,Ein Schauspiel in fünf Akten,,1904,10,False,1.0,1.0,1.0,several characters,9.0,1,,1904.0,9,10,2,8,0,,1,,5,0,5,2465,2225,762,121,4
411,scheerbart-die-puppe-und-die-dauerwurst,ger000141,Scheerbart,0,Die Puppe und die Dauerwurst,Ein soziales Drama,,1897,3,False,1.0,1.0,1.0,der_gruene|jakob|johann,2.0,1,,1897.0,2,3,0,3,0,,1,,1,0,0,1295,1102,394,43,0
412,scheerbart-die-urgrossmutter,ger000310,Scheerbart,0,Die Urgrossmutter,Eine Tragi-Komödie in einem Aufzuge,Tragicomedy,1904,3,False,1.0,1.0,1.0,manella|constantin|urgrossmutter,2.0,1,,1904.0,2,3,2,1,0,,1,,1,0,0,835,696,74,33,0
413,scheerbart-die-welt-geht-unter,ger000429,Scheerbart,0,Die Welt geht unter!,Ein Tableau,,1904,4,False,1.0,1.0,1.0,several characters,3.0,1,,1904.0,3,4,0,3,1,,1,,1,0,0,825,416,450,11,0
414,scheerbart-die-wurzeln-der-wohlhabenheit,ger000097,Scheerbart,0,Die Wurzeln der Wohlhabenheit,Ein schildbürgerliches Schauspiel in fünf Akten,,1904,15,False,0.9010989010989012,0.5714285714285714,1.4285714285714286,wiedewitt|von_moellerkuchen|kaeseberg,8.0,2,,1904.0,14,15,0,14,1,,1,,5,0,5,2472,2203,913,84,5
415,scheerbart-es-lebe-europa,ger000034,Scheerbart,0,Es lebe Europa!,Eine Kapitalisten-Tragödie in fünf Akten,Tragedy,1904,9,False,0.8666666666666667,0.6111111111111112,1.3888888888888888,urban|haeser,4.888888888888889,2,,1904.0,8,9,2,7,0,,1,,5,0,5,1559,1232,438,52,0
416,scheerbart-herr-kammerdiener-kneetschke,ger000153,Scheerbart,0,Herr Kammerdiener Kneetschke,Eine Kammerdiener-Tragödie in fünf Aufzügen,Tragedy,1904,10,False,0.8555555555555555,0.6888888888888889,1.3111111111111111,kathi|kneetschke,6.2,2,,1904.0,9,10,4,6,0,,1,,5,0,5,3084,2664,942,180,0
417,scheerbart-lachende-gespenster,ger000138,Scheerbart,0,Lachende Gespenster,Ein Schauspiel zwischen schwarzen Wänden in einem Aufzuge,,1904,6,False,1.0,1.0,1.0,several characters,5.0,1,,1904.0,5,6,2,1,3,,1,,1,0,0,1942,1815,362,109,0
432,schink-der-neue-doktor-faust,ger000072,Schink,0,Der neue Doktor Faust,"Eine Plaisanterie mit Gesang, in zwei Aufzügen",Comedy,1782,4,False,0.5833333333333334,0.6666666666666666,1.3333333333333333,rosalinde,2.0,2,,1782.0,3,4,1,2,1,,1,,14,0,2,5484,5368,433,199,79
448,schnitzler-der-tapfere-cassian,ger000205,Schnitzler,0,Der tapfere Cassian,Puppenspiel in einem Akt,,1904,4,False,1.0,1.0,1.0,several characters,3.0,1,1904,1906.0,3,4,1,3,0,,1,1902,1,0,1,4671,4593,316,286,0
465,solbrig-die-dorfschule,ger000526,Solbrig,0,Die Dorfschule,Eine charakteristische Posse in einem Akte,Comedy,1812,9,False,1.0,1.0,1.0,several characters,8.0,1,1812,1819.0,8,9,0,9,0,,1,,2,0,0,3599,3523,267,182,4
470,stavenhagen-mudder-mews,ger000168,Stavenhagen,0,Mudder Mews,Niederdeutsches Drama in 5 Akten,,1904,8,False,0.9107142857142856,0.8928571428571429,1.1071428571428572,several characters,6.25,2,1905,1904.0,7,8,3,4,1,,1,1903,5,1,5,21644,21272,5040,887,80
513,wagner-voltaire-am-abend-seiner-apotheose,ger000426,Wagner,0,Voltaire am Abend seiner Apotheose,,,1778,3,False,1.0,1.0,1.0,amme|gespenst|voltaire,2.0,1,,1778.0,2,3,1,1,1,,1,,1,0,0,4639,3756,1255,80,0
552,zedlitz-herr-und-sklave,ger000505,Zedlitz,0,Herr und Sklave,Trauerspiel in zwei Aufzügen,Tragedy,1835,7,False,0.7380952380952381,0.5714285714285714,1.5238095238095235,said,3.4285714285714284,3,,1835.0,5,7,1,5,1,,1,1834,9,0,2,3890,3693,221,0,691
