ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
432,918,2327,864,490,1516,7,2325,111,284,1686,483,3062,255,1483,105,0,0,0
427,1731,4161,1347,1021,2352,7,3444,490,815,5183,2728,5714,970,3473,421,0,0,0
469,853,1797,732,406,1398,8,2396,139,279,1882,1096,3007,294,1537,145,0,0,0
213,314,650,124,180,382,0,722,85,77,479,370,764,52,472,42,0,0,0
390,946,1911,766,441,1265,10,2031,218,284,1924,1744,2787,241,1198,298,0,0,0
472,1209,1971,712,628,1675,5,2399,347,339,2316,1610,3100,266,1651,245,0,0,0
638,1271,2756,1146,617,2102,13,3058,177,454,2798,1074,4408,380,2124,165,0,0,0
718,1329,1458,1006,610,2479,3,3581,151,336,2364,765,3088,306,2018,105,0,0,0
542,1567,2494,726,568,2498,1,3636,374,351,2975,2706,5556,363,2220,223,0,0,0
443,1022,2250,591,486,1478,16,2600,190,253,2193,2098,4239,171,1622,283,0,0,0
749,1510,2398,1214,977,2354,26,3656,122,523,4059,1376,5294,526,3004,204,0,0,0
787,1257,2800,1264,741,2247,14,3510,215,583,2922,1396,4404,427,2394,151,0,0,0
1122,1941,3625,1788,1044,2835,16,5004,228,743,3539,1777,5751,521,2729,188,0,0,0
460,779,2406,889,495,1157,38,1822,136,401,2218,875,2923,254,1562,68,0,0,0
951,1609,3310,2166,755,2627,19,3493,79,862,4983,836,5691,794,3125,83,0,0,0
562,1188,2816,1328,671,2033,5,2748,116,668,3597,907,5865,533,2213,101,0,0,0
368,820,2205,876,432,1235,9,2249,246,349,2398,1444,3193,232,1679,154,0,0,0
636,1053,2402,887,503,1657,15,2672,219,331,2578,1313,4241,353,1740,563,0,0,0
322,722,1733,692,348,1103,11,1767,216,223,1742,1199,2878,220,1165,405,0,0,0
332,564,1217,500,379,924,11,1417,79,180,1067,591,2754,125,897,141,0,0,0
539,1101,1919,384,604,1542,2,2618,197,211,1834,1491,2829,247,1549,122,0,0,0
466,841,1825,903,404,1390,13,2053,121,298,2189,916,2732,302,1545,150,0,0,0
545,777,2532,640,271,1318,26,2855,201,101,2040,2024,5124,291,1922,1163,0,0,0
214,220,591,306,136,467,3,677,34,113,629,169,794,89,475,25,0,0,0
51,104,241,84,55,125,4,239,9,23,200,101,308,32,181,15,0,0,0
1016,1910,3775,1669,1028,3393,3,5149,691,798,4380,3470,6108,390,3549,370,0,0,0
985,1846,2759,1618,840,3267,1,4978,155,605,3894,1119,5989,575,3012,100,0,0,0
729,1465,2705,996,621,2378,2,3585,473,506,2906,2203,4125,344,2348,228,0,0,0
990,1306,2261,769,691,2783,1,4074,419,355,2668,2311,3597,242,2247,178,0,0,0
172,378,581,248,176,505,3,1000,55,129,730,303,1241,106,583,57,0,0,0
248,704,2431,876,417,819,31,1347,157,359,2360,887,3509,250,1240,292,0,0,0
518,1098,3403,1332,625,1526,38,2216,211,553,3987,1330,5774,430,2120,286,0,0,0
191,363,1005,460,207,605,2,1049,102,171,1072,708,1480,82,771,107,0,0,0
472,896,1497,1138,417,1648,12,2227,62,418,2668,585,3110,401,1742,85,0,0,0
570,1141,2792,1336,742,1693,53,2791,221,602,3534,1030,4939,403,2094,211,0,0,0
610,1349,2724,1266,740,1900,29,3303,220,544,3477,1407,5144,429,2407,254,0,0,0
223,849,1625,350,425,325,25,1391,215,45,1138,3708,2953,433,1106,1714,0,0,0
148,392,1058,238,212,359,22,940,129,71,772,1579,1902,155,726,649,0,0,0
583,1153,1812,544,478,1825,1,2754,291,260,1953,1805,2694,272,1670,131,0,0,0
1732,2363,4824,1332,899,3201,5,6424,629,620,3477,4216,7166,372,3210,497,0,0,0
