ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
516,1306,2839,624,639,893,16,2864,226,149,2571,4720,5876,399,2291,1322,0,0,0
687,1490,3011,954,721,2156,7,3204,147,312,2010,821,3825,323,2098,108,0,0,0
448,1955,4281,1360,1066,2413,7,3597,541,818,5326,3041,6089,977,3649,421,0,0,0
572,1210,1965,753,470,1688,8,2967,190,280,2065,1587,3778,305,1900,146,0,0,0
251,374,715,128,198,473,0,849,91,78,516,384,868,59,528,43,0,0,0
621,2013,2969,912,669,2379,10,3523,318,372,2637,2616,4445,334,2317,308,0,0,0
566,1757,2471,760,737,2094,5,3013,378,357,2665,2180,3898,289,2166,251,0,0,0
728,1733,3184,1172,751,2429,13,3599,242,462,2989,1678,5107,390,2508,171,0,0,0
756,1506,1577,1018,668,2661,3,3949,179,338,2465,967,3406,307,2221,109,0,0,0
586,1881,2696,736,722,2794,1,4095,404,355,3261,3138,6228,400,2571,226,0,0,0
680,1697,3161,645,705,2056,16,3420,273,276,2667,2867,5413,233,2222,296,0,0,0
766,1654,2468,1218,992,2438,26,3808,142,524,4125,1620,5545,527,3141,208,0,0,0
830,1510,3118,1280,857,2484,14,3871,257,590,3154,1779,4938,452,2645,156,0,0,0
1352,2958,4881,1861,1337,3613,16,6345,374,787,4058,2682,7238,595,3431,201,0,0,0
495,1115,2853,918,561,1335,38,2202,182,407,2381,1414,3617,267,1793,74,0,0,0
962,1714,3386,2175,789,2707,19,3623,89,866,5101,1102,5969,824,3243,89,0,0,0
585,1371,2981,1338,736,2240,5,2990,147,678,3759,1182,6225,580,2367,103,0,0,0
414,1133,2441,903,508,1425,9,2687,292,351,2631,1935,3763,242,1913,157,0,0,0
715,1625,2905,911,578,1969,15,3313,308,342,2781,1993,5071,380,2009,568,0,0,0
379,1054,2014,714,443,1326,11,2251,275,224,1907,1656,3499,234,1424,411,0,0,0
826,1484,2265,606,673,1835,11,2910,163,235,1559,1165,4396,212,1728,151,0,0,0
540,1155,1935,385,616,1568,2,2678,216,211,1845,1579,2939,248,1573,124,0,0,0
622,1231,2074,944,524,1812,13,2771,176,307,2379,1325,3428,314,1979,156,0,0,0
852,1415,3184,691,409,2041,26,4171,265,110,2266,2605,6362,304,2540,1169,0,0,0
354,500,837,347,238,776,3,1122,86,120,744,303,1122,103,680,30,0,0,0
101,217,360,94,119,274,4,451,21,28,256,151,462,42,306,17,0,0,0
1083,2298,4138,1716,1169,3682,3,5716,736,811,4641,3971,6858,414,4014,373,0,0,0
1132,2487,3389,1652,1073,3736,1,5802,229,625,4296,1701,6931,619,3659,103,0,0,0
778,1714,2954,1025,700,2593,2,3915,495,514,3083,2548,4581,370,2604,230,0,0,0
1055,1508,2392,789,762,2982,1,4345,444,356,2827,2544,3897,256,2449,178,0,0,0
187,450,642,251,200,562,3,1111,76,129,760,371,1365,107,627,62,0,0,0
300,1049,2779,918,497,1085,31,1733,191,380,2635,1379,4215,276,1654,300,0,0,0
565,1390,3687,1365,683,1771,38,2589,245,560,4147,1683,6294,442,2391,292,0,0,0
268,646,1214,485,299,848,2,1460,128,183,1227,1075,1892,92,994,111,0,0,0
476,984,1561,1145,477,1710,12,2340,67,418,2717,774,3266,404,1840,85,0,0,0
646,1470,3252,1357,820,2049,53,3401,288,617,3721,1563,5753,421,2416,218,0,0,0
692,1836,3241,1290,841,2284,29,4004,274,554,3786,2179,6181,444,2846,272,0,0,0
300,1310,2295,399,629,696,25,1985,253,69,1437,4250,3778,448,1652,1726,0,0,0
177,676,1369,256,324,588,22,1347,163,77,905,1884,2363,160,1069,650,0,0,0
595,1245,1839,548,499,1888,1,2874,299,260,1972,1907,2813,276,1719,132,0,0,0
1881,2814,5204,1378,1059,3647,5,7261,679,626,3771,4605,7961,394,3691,521,0,0,0
610,1201,2364,351,547,1638,2,2786,312,252,2534,2609,3421,121,2089,235,0,0,0
428,718,942,420,205,1002,0,1462,75,189,1176,349,1475,191,875,35,0,0,0
399,1238,2666,623,537,1053,39,2379,174,66,1777,2816,4199,396,1971,1081,0,0,0
491,1569,2924,877,686,1761,60,2836,159,241,2665,2220,4436,473,2357,599,0,0,0
458,876,1896,762,383,1235,6,2285,172,298,1986,1156,3684,149,1480,112,0,0,0
545,1365,2754,1109,774,1808,26,3057,235,386,2771,1641,4211,300,2228,197,0,0,0
615,1397,2559,915,615,1716,21,2894,187,417,2573,1328,4070,340,2197,85,0,0,0
623,1596,4199,1300,757,2108,71,3424,312,398,3202,2188,5464,424,2298,280,0,0,0
138,266,558,176,157,486,4,887,101,93,577,558,1240,45,551,71,0,0,0
696,1383,2583,667,541,1705,7,2857,247,314,2128,1103,3881,290,1701,132,0,0,0
557,1254,2192,1507,729,1840,12,2705,155,594,3342,496,3123,581,2268,28,0,0,0
393,859,1490,703,448,1320,14,1911,110,298,2154,567,3221,255,1480,93,0,0,0
850,2106,2954,1779,1223,2770,9,4697,320,677,4574,1823,6233,592,3650,186,0,0,0
505,924,1471,649,493,1410,6,2192,177,245,1739,882,2538,256,1461,85,0,0,0
548,981,1451,830,488,1672,3,2280,79,409,2389,655,3212,371,1791,80,0,0,0
1319,3576,5573,1983,1540,4924,10,8167,1186,731,6448,6890,10696,718,5344,631,0,0,0
418,1339,3296,726,874,1674,5,2920,351,392,2844,2116,4398,286,2138,256,0,0,0
787,2404,3771,869,1158,3165,1,5126,477,488,3272,3159,5880,419,2930,278,0,0,0
121,259,456,186,191,482,0,740,65,90,633,448,923,48,480,73,0,0,0
497,1562,3342,830,1111,2188,2,3912,376,484,3380,2684,5973,243,2633,461,0,0,0
779,2049,4295,1322,978,2276,75,3854,300,557,4000,2201,6945,425,3083,181,0,0,0
558,1849,3644,951,1150,2283,1,3620,483,589,3772,2810,4837,642,3094,278,0,0,0
345,1084,1995,700,608,1221,0,2231,231,87,1697,1675,2337,208,1381,197,0,0,0
178,277,375,106,196,404,0,603,51,33,346,300,582,43,371,15,0,0,0
565,1904,3668,983,932,2133,2,3330,455,508,3593,2352,5003,404,2750,291,0,0,0
272,646,1115,250,350,843,2,1336,143,176,1118,883,1722,132,935,83,0,0,0
722,1696,4146,1995,906,2354,11,4187,375,690,4515,1901,6949,523,3129,149,0,0,0
370,511,863,192,176,891,2,1625,142,95,826,925,1795,55,844,116,0,0,0
719,2057,3297,644,816,3079,2,4602,467,392,3836,3230,6659,483,2913,245,0,0,0
968,1706,3114,1342,904,2851,18,4157,270,636,3489,1552,5379,466,2774,120,0,0,0
355,908,1588,518,387,1324,8,2099,166,189,1496,1432,2490,115,1432,157,0,0,0
394,1025,1402,816,361,1365,5,1919,107,347,2175,719,2567,312,1561,58,0,0,0
401,984,2024,752,473,1217,7,2292,213,299,2033,1657,3082,223,1507,147,0,0,0
504,1056,1893,1041,490,1667,6,2395,168,161,2189,1000,2851,320,1693,179,0,0,0
538,1229,1867,677,396,1558,19,2754,220,216,1607,1452,3406,219,1277,348,0,0,0
626,1702,2650,762,627,1861,18,3210,270,303,2382,2323,4863,353,1755,534,0,0,0
590,1408,3612,1165,934,1900,11,3199,287,526,3552,2048,4522,329,2564,449,0,0,0
631,1152,2039,454,623,1855,2,2984,293,212,1828,1816,3074,247,1697,162,0,0,0
442,1056,1779,852,411,1468,10,2297,161,251,2210,1134,2944,235,1726,119,0,0,0
156,424,853,214,154,550,1,1040,135,112,1008,1069,1807,74,717,168,0,0,0
248,501,689,226,190,753,8,1356,150,75,925,1085,1542,48,732,118,0,0,0
626,2152,2714,1658,685,2862,2,4587,234,564,4442,1124,6243,438,3078,172,0,0,0
53,102,400,107,82,165,2,255,21,49,204,122,347,34,193,13,0,0,0
97,213,441,155,114,333,7,536,47,45,280,302,623,29,315,17,0,0,0
70,101,178,36,63,155,3,215,30,20,117,86,262,12,146,20,0,0,0
532,721,1793,397,356,1258,4,2097,153,174,1335,1120,2169,185,1320,148,0,0,0
251,678,1849,664,301,819,32,1340,151,289,1593,676,2415,244,1066,147,0,0,0
245,502,647,235,194,683,2,1329,128,71,678,1013,1330,38,683,122,0,0,0
875,1719,2530,663,903,2246,2,4455,426,328,2356,2715,4936,210,2174,260,0,0,0
436,1399,4034,457,470,1256,74,2853,152,82,1530,4202,5168,268,2762,2221,0,0,0
352,939,2358,883,531,1315,1,2156,180,334,2359,1699,3361,309,1766,179,0,0,0
392,939,1576,174,361,1156,4,2137,312,199,1611,2400,2751,116,1365,197,0,0,0
569,1359,1949,839,394,1633,7,2368,117,301,2199,683,2760,323,1594,34,0,0,0
479,1409,2056,677,448,1602,7,2569,162,316,2166,1457,3395,267,1674,98,0,0,0
431,1750,2682,1058,608,1911,4,2881,231,453,3354,1652,4211,356,2353,127,0,0,0
1002,1600,1951,1745,729,3127,17,3975,41,717,4309,884,5124,614,3065,56,0,0,0
838,2187,3824,868,1132,2772,8,4999,585,510,3639,3367,7501,328,3074,397,0,0,0
387,791,1373,558,324,914,22,1618,95,186,1120,710,2080,201,971,140,0,0,0
933,2242,2817,1402,912,3040,7,4976,201,649,4135,1398,5789,539,3325,97,0,0,0
