name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"anonimo-la-rappresentazione-di-salamone","ita000028","(Anonimo)","0","La rappresentazione di Salamone","","","1470","7","false","1","1","1","several characters","6","1","","1470","6","7","2","2","3","","1","","1","0","0","3720","3317","367","0","456"
"anonimo-la-rappresentazione-di-san-bernardo","ita000029","(Anonimo)","0","La rappresentazione di San Bernardo d'uno Signore facea rubare le strade","","","1500","15","false","1","1","1","several characters","14","1","","","14","15","1","12","2","","1","1451/1500","1","0","0","3926","3572","280","0","520"
"anonimo-la-rappresentazione-di-san-giovanni-battista","ita000030","(Anonimo)","0","La rappresentazione di San Giovanni Battista quando fu decollato","","","1451","17","false","1","1","1","several characters","16","1","","","16","17","2","13","2","","1","1451","1","0","0","5138","4219","827","0","600"
"anonimo-la-veniexiana","ita000031","(Anonimo)","0","La veniexiana","","","1536","6","false","1","1","1","several characters","5","1","","","5","6","4","2","0","","1","1536","5","0","0","9748","8579","98","575","0"
"anonimo-orphei-tragoedia","ita000032","(Anonimo)","0","Orphei tragoedia","","","1491","12","false","0.8293650793650794","0.30303030303030304","2.212121212121212","orpheus","3.3333333333333335","4","","","8","12","6","6","0","","1","1491","5","0","0","3027","2840","60","0","422"
"anonimo-quando-iddio-fece-il-mondo-e-l-uomo-e-ogni-cosa-creata","ita000033","(Anonimo)","0","Quando Iddio fece il mondo e l'uomo e ogni cosa creata","","","1500","23","false","1","1","1","several characters","22","1","","","22","23","1","5","17","","1","1401/1500","1","0","0","4703","4188","434","0","608"
"anonimo-representazione-di-febo-e-feton","ita000034","(Anonimo)","0","Representazione di Febo e Feton","","","1486","13","false","1","1","1","several characters","12","1","1486","","12","13","5","8","0","","1","","1","0","0","3997","3558","435","0","475"
"ariosto-cassaria","ita000035","Ariosto","0","Cassaria","","","1508","20","false","0.7067460317460317","0.26842105263157895","2.0526315789473686","trap","5.1","4","1508","","10","20","2","18","0","","1","","30","0","5","17125","16610","113","755","0"
"ariosto-i-studenti","ita000036","Ariosto","0","I Studenti","","","1519","12","false","0.5555555555555556","0.22727272727272727","2.108695652173913","accursio|bonifazio","2.5","4","","","5","12","3","9","0","","2","1518/1519","18","0","4","12668","11057","48","0","1700"
"ariosto-i-suppositi-red-in-versi","ita000037","Ariosto","0","I Suppositi (red. in versi)","","","1529","17","false","0.6060860707919531","0.3235294117647059","1.6603773584905661","erostrato","5.176470588235294","3","","","12","17","3","14","0","","2","1529","34","","5","16623","16060","115","0","2532"
"ariosto-i-suppositi","ita000038","Ariosto","0","I suppositi","","","1508","17","false","0.6082930141753671","0.35294117647058826","1.5754716981132075","erost","5.647058823529412","3","1508","","12","17","3","14","0","","2","","28","0","5","16579","15951","114","721","0"
"ariosto-il-negromante","ita000039","Ariosto","0","Il Negromante","","","1529","14","false","0.5010204081632653","0.32967032967032966","1.4042553191489362","temolo|nibbio","4.285714285714286","3","1528/1529","1535","8","14","4","10","0","","3","1509/1528","25","0","5","16492","15833","70","0","2502"
"ariosto-la-cassaria-red-in-versi","ita000040","Ariosto","0","La Cassaria (red. in versi)","","","1529","19","false","0.727037290195185","0.2807017543859649","2.0350877192982457","trappola","5.052631578947368","4","1529","","11","19","3","16","0","","1","1528/1529","34","","0","23893","22604","98","0","3531"
"ariosto-la-lena","ita000041","Ariosto","0","La Lena","","","1528","18","false","0.7965367965367965","0.3006535947712418","1.9019607843137254","corbolo","5.111111111111111","3","1528","","11","18","2","16","0","","1","","36","0","5","14006","13212","92","0","2042"
"barbieri-l-inavertito","ita000042","Barbieri","0","L'inavertito","","","1629","13","false","0.852047952047952","0.6538461538461539","1.3461538461538463","scappino","7.846153846153846","2","","","12","13","3","10","0","","1","1629","72","0","5","36137","34310","287","1487","20"
"beccari-il-sacrificio-1555","ita000043","Beccari","0","Il sacrificio (1555)","","","1555","11","false","0.766233766233766","0.6","1.1081081081081081","several characters","6","2","","1555","8","11","3","8","0","","2","","29","","5","18482","16759","112","0","2343"
"beccari-il-sacrificio-1587","ita000044","Beccari","0","Il sacrificio (1587)","","","1587","12","false","0.7023809523809522","0.5","1.1081081081081081","several characters","5.5","2","","1587","8","12","3","9","0","","3","","33","","5","22174","19448","123","0","2704"
